DATASET, #TRAINING_RELEASES, %TRAINING_INSTANCES, CLASSIFIER, FEATURE_SELECTION, PRECISION, RECALL, AUC, KAPPA, TP, FP, TN, FN
bookkeeper,2,62.665066026410564,IBk,Oversampling,0.9062247372675829,0.7355643044619422,0.7336965280655707,0.299059819780697,1121.0,116.0,226.0,403.0
bookkeeper,3,76.80835197613722,IBk,Oversampling,0.7338804220398594,0.9441930618401206,0.6634196413608179,0.1307146638433034,1252.0,454.0,86.0,74.0
bookkeeper,4,82.46498599439776,IBk,Oversampling,0.8178740690589031,0.9193302891933028,0.7938330526679405,0.48214703274110227,1208.0,269.0,295.0,106.0
bookkeeper,5,81.26064735945485,IBk,Oversampling,0.9791059280855199,0.8171127331711273,0.8543327180691892,0.272761338847178,2015.0,43.0,131.0,451.0
bookkeeper,6,89.66196258615031,IBk,Oversampling,0.9788450543167524,0.9264069264069265,0.6282789631003917,0.021124104111655457,1712.0,37.0,5.0,136.0
bookkeeper,1,52.17391304347826,Random Forest,SMOTE,0.726457399103139,0.4595744680851064,0.5889815064188886,0.13172431109158245,648.0,244.0,546.0,762.0
bookkeeper,2,62.62019230769231,Random Forest,SMOTE,0.907175112895133,0.7118110236220473,0.7360225859925404,0.2822215902083716,1808.0,185.0,385.0,732.0
bookkeeper,3,76.7910447761194,Random Forest,SMOTE,0.735648476257973,0.9393665158371041,0.6697740070387129,0.1383631166018111,2076.0,746.0,154.0,134.0
bookkeeper,4,82.45515695067265,Random Forest,SMOTE,0.8264532434709352,0.8958904109589041,0.7979163023413971,0.48466762708376215,1962.0,412.0,528.0,228.0
bookkeeper,5,81.27659574468085,Random Forest,SMOTE,0.9823088455772114,0.7970802919708029,0.856705680006712,0.264786782179144,3276.0,59.0,231.0,834.0
bookkeeper,6,89.66196258615031,Random Forest,SMOTE,0.9800977653631285,0.9113636363636364,0.6547680890538033,0.03871051268772736,2807.0,57.0,13.0,273.0
bookkeeper,1,52.17391304347826,Naive Bayes,SMOTE,0.7251396648044692,0.41843971631205673,0.5927060680996484,0.11608861512616807,649.0,246.0,623.0,902.0
bookkeeper,2,62.62019230769231,Naive Bayes,SMOTE,0.906567992599445,0.7015032211882606,0.7323402620561947,0.2727280935397949,1960.0,202.0,425.0,834.0
bookkeeper,3,76.7910447761194,Naive Bayes,SMOTE,0.7333120408815075,0.9444672974084739,0.6622022362664074,0.12781889672718857,2296.0,835.0,155.0,135.0
bookkeeper,4,82.45515695067265,Naive Bayes,SMOTE,0.8154940119760479,0.904524699045247,0.7904997217879759,0.4612146651206975,2179.0,493.0,541.0,230.0
bookkeeper,5,81.27659574468085,Naive Bayes,SMOTE,0.9817351598173516,0.8084494580844945,0.8627391226869524,0.27527184359866985,3655.0,68.0,251.0,866.0
bookkeeper,6,89.66196258615031,Naive Bayes,SMOTE,0.9801324503311258,0.9173553719008265,0.656198730431316,0.041720990873533856,3108.0,63.0,14.0,280.0
bookkeeper,1,52.17391304347826,IBk,SMOTE,0.7265135699373695,0.41134751773049644,0.5925249498758117,0.11534183171165172,696.0,262.0,686.0,996.0
bookkeeper,2,62.62019230769231,IBk,SMOTE,0.9072426937738246,0.702755905511811,0.731798773234486,0.2753375544467711,2142.0,219.0,465.0,906.0
bookkeeper,3,76.7910447761194,IBk,SMOTE,0.7342105263157894,0.9468325791855203,0.657646395452768,0.13324945852974926,2511.0,909.0,171.0,141.0
bookkeeper,4,82.45515695067265,IBk,SMOTE,0.8193726301275422,0.904490106544901,0.79320273621771,0.4725931047378021,2377.0,524.0,604.0,251.0
bookkeeper,5,81.27659574468085,IBk,SMOTE,0.9819351645632269,0.8045417680454177,0.8565103219882354,0.2716045835209078,3968.0,73.0,275.0,964.0
bookkeeper,6,89.66196258615031,IBk,SMOTE,0.9797746316093614,0.917478354978355,0.6363958462172747,0.03554895124878572,3391.0,70.0,14.0,305.0
